YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2023,12,1,5,ALB,ATL,0605,0603,-2.00,0855,0856,1.00
2023,12,1,5,ALB,ATL,1427,1417,-10.00,1714,1701,-13.00
2023,12,1,5,ALB,BNA,1052,1041,-11.00,1227,1209,-18.00
2023,12,1,5,ALB,BWI,0600,0558,-2.00,0730,0709,-21.00
2023,12,1,5,ALB,BWI,1020,1053,33.00,1140,1203,23.00
2023,12,1,5,ALB,BWI,1435,1428,-7.00,1555,1550,-5.00
2023,12,1,5,ALB,BWI,1715,1704,-11.00,1835,1828,-7.00
2023,12,1,5,ALB,BWI,1910,1907,-3.00,2030,2025,-5.00
2023,12,1,5,ALB,CLT,0602,0600,-2.00,0830,0811,-19.00
2023,12,1,5,ALB,CLT,1147,1142,-5.00,1400,1350,-10.00
2023,12,1,5,ALB,CLT,1717,1710,-7.00,1930,1943,13.00
2023,12,1,5,ALB,DCA,0511,0553,42.00,0659,0734,35.00
2023,12,1,5,ALB,DCA,1222,1234,12.00,1359,1429,30.00
2023,12,1,5,ALB,DCA,1735,1720,-15.00,1915,1854,-21.00
2023,12,1,5,ALB,DFW,0604,0556,-8.00,0908,0931,23.00
2023,12,1,5,ALB,DTW,0545,0541,-4.00,0740,0717,-23.00
2023,12,1,5,ALB,DTW,1235,1231,-4.00,1426,1412,-14.00
2023,12,1,5,ALB,DTW,1700,1708,8.00,1854,1858,4.00
2023,12,1,5,ALB,EWR,0615,0609,-6.00,0734,0722,-12.00
2023,12,1,5,ALB,EWR,1815,1810,-5.00,1931,1908,-23.00
2023,12,1,5,ALB,FLL,0625,0620,-5.00,0954,0923,-31.00
2023,12,1,5,ALB,LGA,0523,0518,-5.00,0630,0605,-25.00
2023,12,1,5,ALB,LGA,1216,1219,3.00,1323,1309,-14.00
2023,12,1,5,ALB,MCO,1105,1102,-3.00,1405,1350,-15.00
2023,12,1,5,ALB,MCO,1725,1723,-2.00,2040,2024,-16.00
2023,12,1,5,ALB,MCO,1730,1737,7.00,2040,2045,5.00
2023,12,1,5,ALB,MDW,0740,0734,-6.00,0900,0846,-14.00
2023,12,1,5,ALB,MDW,1850,1856,6.00,2015,2024,9.00
2023,12,1,5,ALB,MYR,1518,1500,-18.00,1724,1710,-14.00
2023,12,1,5,ALB,ORD,0630,0623,-7.00,0800,0759,-1.00
2023,12,1,5,ALB,ORD,1230,1239,9.00,1359,1405,6.00
2023,12,1,5,ALB,ORD,1658,1652,-6.00,1829,1824,-5.00
2023,12,1,5,ALB,PIE,1958,1944,-14.00,2312,2246,-26.00
2023,12,1,5,ALB,TPA,1310,1310,0.00,1625,1616,-9.00
2023,12,1,5,ATL,ALB,1110,1059,-11.00,1324,1308,-16.00
2023,12,1,5,ATL,ALB,2213,2208,-5.00,0028,0008,-20.00
2023,12,1,5,ATL,BUF,0910,0907,-3.00,1106,1050,-16.00
2023,12,1,5,ATL,BUF,1543,1539,-4.00,1743,1725,-18.00
2023,12,1,5,ATL,BUF,2155,2149,-6.00,2353,2335,-18.00
2023,12,1,5,ATL,HPN,0720,0718,-2.00,0939,0944,5.00
2023,12,1,5,ATL,HPN,0947,0942,-5.00,1202,1151,-11.00
2023,12,1,5,ATL,HPN,1329,1327,-2.00,1544,1540,-4.00
2023,12,1,5,ATL,HPN,1557,1557,0.00,1814,1805,-9.00
2023,12,1,5,ATL,HPN,1919,1914,-5.00,2127,1138,
2023,12,1,5,ATL,JFK,0610,0607,-3.00,0830,0815,-15.00
2023,12,1,5,ATL,JFK,0705,0722,17.00,0931,0928,-3.00
2023,12,1,5,ATL,JFK,0805,0849,44.00,1028,1047,19.00
2023,12,1,5,ATL,JFK,1000,0957,-3.00,1218,1212,-6.00
2023,12,1,5,ATL,JFK,1140,1157,17.00,1403,1356,-7.00
2023,12,1,5,ATL,JFK,1215,1215,0.00,1433,1423,-10.00
2023,12,1,5,ATL,JFK,1450,1448,-2.00,1709,1644,-25.00
2023,12,1,5,ATL,JFK,1920,1914,-6.00,2143,2129,-14.00
2023,12,1,5,ATL,JFK,1945,2001,16.00,2207,2212,5.00
2023,12,1,5,ATL,JFK,2124,2131,7.00,2346,2331,-15.00
2023,12,1,5,ATL,LGA,0545,0611,26.00,0804,0809,5.00
2023,12,1,5,ATL,LGA,0600,0558,-2.00,0819,0751,-28.00
2023,12,1,5,ATL,LGA,0615,0640,25.00,0825,0832,7.00
2023,12,1,5,ATL,LGA,0700,0657,-3.00,0917,0858,-19.00
